code,name,address,coordinates
11110101,청운동,서울특별시 종로구 청운동,POINT(37.5891974378629 126.969329763593)
11110102,신교동,서울특별시 종로구 신교동,POINT(37.5844902776103 126.967923271581)
11110103,궁정동,서울특별시 종로구 궁정동,POINT(37.5846825915784 126.973144784748)
11110104,효자동,서울특별시 종로구 효자동,POINT(37.5826496685118 126.971931855344)
11110105,창성동,서울특별시 종로구 창성동,POINT(37.580545072399 126.972462474485)
11110106,통의동,서울특별시 종로구 통의동,POINT(37.5780584194585 126.972852824323)
11110107,적선동,서울특별시 종로구 적선동,POINT(37.5752799608429 126.973773044297)
11110108,통인동,서울특별시 종로구 통인동,POINT(37.5801444847072 126.97021199276)
11110109,누상동,서울특별시 종로구 누상동,POINT(37.5800268845222 126.962264659143)
11110110,누하동,서울특별시 종로구 누하동,POINT(37.5792826296465 126.968274190814)
11110111,옥인동,서울특별시 종로구 옥인동,POINT(37.5835230926996 126.963385995622)
11110112,체부동,서울특별시 종로구 체부동,POINT(37.5775894297459 126.970869610418)
11110113,필운동,서울특별시 종로구 필운동,POINT(37.5778012532177 126.967749538039)
11110114,내자동,서울특별시 종로구 내자동,POINT(37.5753047140659 126.971717261861)
11110115,사직동,서울특별시 종로구 사직동,POINT(37.5754222287938 126.96631967084)
11110116,도렴동,서울특별시 종로구 도렴동,POINT(37.5731610122675 126.974647692606)
11110117,당주동,서울특별시 종로구 당주동,POINT(37.5715715163221 126.974000740279)
11110118,내수동,서울특별시 종로구 내수동,POINT(37.5733081682464 126.971962529742)
11110119,세종로,서울특별시 종로구 세종로,POINT(37.5801928107016 126.976778199977)
11110120,신문로1가,서울특별시 종로구 신문로1가,POINT(37.5701731498046 126.973901614207)
11110121,신문로2가,서울특별시 종로구 신문로2가,POINT(37.5706622933598 126.969722233416)
11110122,청진동,서울특별시 종로구 청진동,POINT(37.5714393638425 126.98015420508)
11110123,서린동,서울특별시 종로구 서린동,POINT(37.5695112747648 126.980399217074)
11110124,수송동,서울특별시 종로구 수송동,POINT(37.5736775113542 126.980610942957)
11110125,중학동,서울특별시 종로구 중학동,POINT(37.5752847227306 126.979641505392)
11110126,종로1가,서울특별시 종로구 종로1가,POINT(37.5702572573332 126.980149990907)
